subtest_code,age_min,age_max,raw_score,standard_score
# IST Subtest RW -> SW Norms for Age 12 and Age 13
# SE Usia 12
SE,12,12,0,74
SE,12,12,1,78
SE,12,12,2,82
SE,12,12,3,86
SE,12,12,4,90
SE,12,12,5,94
SE,12,12,6,98
SE,12,12,7,102
SE,12,12,8,106
SE,12,12,9,110
SE,12,12,10,114
SE,12,12,11,118
SE,12,12,12,122
SE,12,12,13,126
SE,12,12,14,130
SE,12,12,15,134
# WA Usia 12
WA,12,12,0,70
WA,12,12,1,75
WA,12,12,2,79
WA,12,12,3,83
WA,12,12,4,87
WA,12,12,5,91
WA,12,12,6,95
WA,12,12,7,100
WA,12,12,8,104
WA,12,12,9,108
WA,12,12,10,112
WA,12,12,11,116
WA,12,12,12,120
WA,12,12,13,125
WA,12,12,14,129
WA,12,12,15,133
# AN Usia 12
AN,12,12,0,78
AN,12,12,1,80
AN,12,12,2,84
AN,12,12,3,88
AN,12,12,4,91
AN,12,12,5,95
AN,12,12,6,99
AN,12,12,7,103
AN,12,12,8,106
AN,12,12,9,110
AN,12,12,10,114
AN,12,12,11,117
AN,12,12,12,121
AN,12,12,13,125
AN,12,12,14,129
AN,12,12,15,132
# GE Usia 12
GE,12,12,0,77
GE,12,12,1,80
GE,12,12,2,84
GE,12,12,3,88
GE,12,12,4,91
GE,12,12,5,95
GE,12,12,6,99
GE,12,12,7,103
GE,12,12,8,106
GE,12,12,9,110
GE,12,12,10,114
GE,12,12,11,117
GE,12,12,12,121
GE,12,12,13,125
GE,12,12,14,129
GE,12,12,15,132
# ME Usia 12
ME,12,12,0,80
ME,12,12,1,83
ME,12,12,2,86
ME,12,12,3,89
ME,12,12,4,92
ME,12,12,5,95
ME,12,12,6,98
ME,12,12,7,101
ME,12,12,8,104
ME,12,12,9,107
ME,12,12,10,110
ME,12,12,11,113
ME,12,12,12,116
ME,12,12,13,119
ME,12,12,14,121
ME,12,12,15,124
ME,12,12,16,127
ME,12,12,17,130
ME,12,12,18,133
# RA Usia 12
RA,12,12,0,77
RA,12,12,1,81
RA,12,12,2,85
RA,12,12,3,89
RA,12,12,4,92
RA,12,12,5,96
RA,12,12,6,100
RA,12,12,7,103
RA,12,12,8,107
RA,12,12,9,111
RA,12,12,10,114
RA,12,12,11,118
RA,12,12,12,122
RA,12,12,13,126
RA,12,12,14,129
RA,12,12,15,133
# ZR Usia 12
ZR,12,12,0,80
ZR,12,12,1,83
ZR,12,12,2,87
ZR,12,12,3,90
ZR,12,12,4,93
ZR,12,12,5,97
ZR,12,12,6,100
ZR,12,12,7,103
ZR,12,12,8,107
ZR,12,12,9,110
ZR,12,12,10,113
ZR,12,12,11,117
ZR,12,12,12,120
ZR,12,12,13,123
ZR,12,12,14,127
ZR,12,12,15,130
ZR,12,12,16,133
# FA Usia 12
FA,12,12,0,74
FA,12,12,1,77
FA,12,12,2,80
FA,12,12,3,84
FA,12,12,4,88
FA,12,12,5,91
FA,12,12,6,95
FA,12,12,7,98
FA,12,12,8,102
FA,12,12,9,105
FA,12,12,10,109
FA,12,12,11,113
FA,12,12,12,116
FA,12,12,13,120
FA,12,12,14,123
FA,12,12,15,127
FA,12,12,16,130
FA,12,12,17,134
# WU Usia 12
WU,12,12,0,77
WU,12,12,1,80
WU,12,12,2,83
WU,12,12,3,86
WU,12,12,4,89
WU,12,12,5,92
WU,12,12,6,95
WU,12,12,7,98
WU,12,12,8,102
WU,12,12,9,105
WU,12,12,10,108
WU,12,12,11,111
WU,12,12,12,114
WU,12,12,13,117
WU,12,12,14,120
WU,12,12,15,123
WU,12,12,16,127
WU,12,12,17,130
WU,12,12,18,133

# SE Usia 13
SE,13,13,0,73
SE,13,13,1,77
SE,13,13,2,80
SE,13,13,3,84
SE,13,13,4,88
SE,13,13,5,92
SE,13,13,6,96
SE,13,13,7,100
SE,13,13,8,103
SE,13,13,9,107
SE,13,13,10,111
SE,13,13,11,115
SE,13,13,12,119
SE,13,13,13,125
SE,13,13,14,127
SE,13,13,15,130
SE,13,13,16,134
# WA Usia 13
WA,13,13,0,69
WA,13,13,1,73
WA,13,13,2,77
WA,13,13,3,81
WA,13,13,4,85
WA,13,13,5,89
WA,13,13,6,93
WA,13,13,7,97
WA,13,13,8,101
WA,13,13,9,105
WA,13,13,10,109
WA,13,13,11,113
WA,13,13,12,117
WA,13,13,13,121
WA,13,13,14,125
WA,13,13,15,129
WA,13,13,16,133
# AN Usia 13
AN,13,13,0,77
AN,13,13,1,80
AN,13,13,2,84
AN,13,13,3,88
AN,13,13,4,91
AN,13,13,5,95
AN,13,13,6,99
AN,13,13,7,103
